year,symbol,date,entry,stop,t1,outcome,ret_a,tier,n_soft,readiness,behav_score,score,fwd_max_gain,max_draw_pct,exploded,mg_outcome,mg_pre_stop,mg_peak_day,entry_model,fill_reason_sweep,outcome_sweep,entry_sweep,ret_sweep_a,price_bucket,killed_explosion
2025,TTD,2025-12-19,36.72,33.15,41.91,loss,-9.7,B,3,50,5,55,2.9,-32.4,False,stopped,2.9,1.0,sweep_confirmed,sweep_no_reclaim,sweep_no_reclaim,,,>15,0
2025,TVGN,2025-12-19,18.64,16.83,21.5,loss,-9.7,B,3,55,32,75,11.8,-38.3,False,stopped,0.0,0.0,sweep_confirmed,filled,loss,18.2,-7.5,>15,0
2025,TVRD,2025-11-28,3.89,3.52,4.45,win,14.3,B,2,80,19,80,25.6,-3.9,False,survived,25.6,34.0,sweep_confirmed,no_sweep,no_sweep,,,2-5,0
2025,UPLD,2025-04-25,21.12,19.06,26.3,loss,-9.7,B,3,60,27,60,5.1,-20.0,False,stopped,0.0,0.0,sweep_confirmed,sweep_no_reclaim,sweep_no_reclaim,,,>15,0
2025,UPLD,2025-06-24,17.41,15.72,19.68,win,13.1,B,1,50,25,65,124.6,-0.6,True,survived,124.6,37.0,sweep_confirmed,no_sweep,no_sweep,,,>15,0
2025,VERU,2025-11-28,2.17,1.96,2.86,open,19.6,B,2,80,36,95,30.7,-3.4,False,survived,30.7,23.0,sweep_confirmed,no_sweep,no_sweep,,,2-5,0
2025,WBUY,2025-08-27,2.82,2.55,3.63,loss,-9.6,B,3,60,83,90,27.7,-13.5,False,stopped,27.7,22.0,sweep_confirmed,sweep_no_reclaim,sweep_no_reclaim,,,2-5,0
2025,WIMI,2025-11-28,2.75,2.48,3.59,loss,-9.7,B,3,70,26,75,11.6,-16.4,False,stopped,11.6,4.0,sweep_confirmed,filled,loss,2.75,-9.7,2-5,0
2025,WKHS,2025-02-12,71.22,64.31,89.7,loss,-9.7,B,3,60,16,70,5.3,-81.7,False,stopped,2.1,1.0,sweep_confirmed,sweep_no_reclaim,sweep_no_reclaim,,,>15,0
2025,WKHS,2025-10-02,12.98,11.72,15.6,loss,-9.7,B,3,60,61,65,4.5,-51.0,False,stopped,4.5,9.0,sweep_confirmed,sweep_no_reclaim,sweep_no_reclaim,,,5-15,0
2025,WOK,2025-03-24,578860.0,522660.0,685000.0,loss,-9.7,B,2,70,25,90,7.1,-37.6,False,stopped,3.7,1.0,sweep_confirmed,filled,loss,570000.0,-8.3,>15,0
2025,WOOF,2025-03-20,2.35,2.12,2.78,win,18.3,B,3,60,33,45,52.6,-0.4,True,survived,52.6,8.0,sweep_confirmed,no_sweep,no_sweep,,,2-5,0
2025,WOOF,2025-07-01,2.45,2.21,3.15,no_fill,,B,2,55,30,90,0.0,0.0,False,no_fill,,,sweep_confirmed,no_sweep,no_sweep,,,2-5,0
2025,WRD,2025-12-01,7.02,6.34,9.69,no_fill,,B,3,70,28,85,0.0,0.0,False,no_fill,,,sweep_confirmed,no_sweep,no_sweep,,,5-15,0
2025,ZOOZ,2025-11-28,10.14,9.15,13.74,loss,-9.7,B,1,90,59,100,8.9,-27.0,False,stopped,7.1,1.0,sweep_confirmed,filled,loss,10.3,-11.2,5-15,0
2026,ABTC,2026-04-10,11.9,10.74,18.08,no_fill,,B,3,60,34,75,0.0,0.0,False,no_fill,,,sweep_confirmed,no_sweep,no_sweep,,,5-15,0
2026,ALGS,2026-02-26,6.42,5.79,9.08,open,-0.3,B,3,80,65,95,39.8,-7.0,False,survived,39.8,30.0,sweep_confirmed,no_sweep,no_sweep,,,5-15,0
2026,APPS,2026-04-10,2.82,2.55,3.11,win,10.3,B,3,50,44,65,257.1,-2.5,True,survived,257.1,39.0,sweep_confirmed,no_sweep,no_sweep,,,2-5,0
2026,ARQQ,2026-02-26,15.47,13.97,19.09,loss,-9.7,B,3,50,75,75,14.4,-25.5,False,stopped,8.3,2.0,sweep_confirmed,filled,loss,16.23,-13.9,>15,0
