symbol,date,outcome,mg_outcome,readiness,behav_score,score,fwd_max_gain,mg_pre_stop,exploded,entry,raw_pit_entry,drop_pct,best_spike,rr,h4_bars,h4_reversal,h4_rsi,h4_status,h4_asof,h4_timezone,h4_resample,h4_1h_bars,h4_1h_first,h4_1h_last,h4_first_bar,h4_last_bar,h4_source,forward_window_start,forward_window_end,outcome_complete,signal_price_raw_pit,entry_adjusted_exact,raw_pit_entry_exact,post_signal_split_factor,split_lookup_status
JL,2026-02-12,no_fill,no_fill,65,44,80,0.0,,False,1.54,1.54,51.1,1569.0,19.869858395144995,,,,,,,,,,,,,,2026-02-13,2026-04-13,True,4.02,1.5433333333333332,1.5433333333333332,1.0,no_post_signal_split
KG,2026-01-14,no_fill,no_fill,55,25,60,0.0,,False,8.31,8.31,74.0,150.0,2.6090188340480696,,,,,,,,,,,,,,2026-01-15,2026-03-13,True,9.57,8.31,8.31,1.0,no_post_signal_split
LNSR,2026-04-13,open,survived,65,6,80,11.7,11.7,False,5.49,,58.6,82.0,1.8945786260987854,251,True,53.6,ok,2026-04-13,America/New_York,4h,717,2025-12-15 08:00:00-05:00,2026-04-13 16:00:00-04:00,2025-12-15 08:00:00-05:00,2026-04-13 13:00:00-04:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2026-04-14,2026-06-09,True,5.92,5.489999999999999,5.489999999999999,1.0,frozen_no_split_events
MAZE,2026-04-27,loss,stopped,65,15,85,9.0,9.0,False,25.85,,50.7,90.0,1.6518745114250504,283,True,49.5,ok,2026-04-27,America/New_York,4h,880,2025-12-29 08:00:00-05:00,2026-04-27 18:00:00-04:00,2025-12-29 08:00:00-05:00,2026-04-27 17:00:00-04:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2026-04-28,2026-06-24,True,26.469999,25.853333333333335,25.853333333333335,1.0,frozen_no_split_events
MCRB,2026-05-04,loss,stopped,50,68,70,18.4,15.4,False,6.76,6.76,74.3,125.0,4.334959245792075,262,False,46.6,ok,2026-05-04,America/New_York,4h,781,2026-01-05 08:00:00-05:00,2026-05-04 16:00:00-04:00,2026-01-05 08:00:00-05:00,2026-05-04 13:00:00-04:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2026-05-05,2026-07-01,True,7.69,6.756666666666667,6.756666666666667,1.0,no_post_signal_split
MLCI,2026-04-13,loss,stopped,80,6,70,6.7,5.6,False,3.38,,53.2,81.0,3.2528563696935224,224,True,60.7,ok,2026-04-13,America/New_York,4h,671,2025-12-15 09:30:00-05:00,2026-04-13 18:00:00-04:00,2025-12-15 08:00:00-05:00,2026-04-13 17:00:00-04:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2026-04-14,2026-06-09,True,4.004248,3.3800000000000003,3.3800000000000003,1.0,frozen_no_split_events
MNKD,2026-04-06,no_fill,no_fill,80,5,80,0.0,,False,2.3,,60.7,68.0,3.0219930592690605,,,,,,,,,,,,,,2026-04-07,2026-06-02,True,2.56,2.2966666666666664,2.2966666666666664,1.0,frozen_no_split_events
MTVA,2026-02-27,win,stopped,60,53,55,14.0,14.0,False,1.47,1.47,93.5,142.0,1.2322171540579019,287,False,40.7,ok,2026-02-27,America/New_York,4h,1038,2025-10-30 08:00:00-04:00,2026-02-27 18:00:00-05:00,2025-10-30 08:00:00-04:00,2026-02-27 15:00:00-05:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2026-03-02,2026-04-27,True,1.51,1.4733333333333334,1.4733333333333334,1.0,no_post_signal_split
NAGE,2026-02-27,win,stopped,60,18,50,18.4,18.4,False,4.88,,65.6,122.0,1.5896559169683573,264,True,45.9,ok,2026-02-27,America/New_York,4h,954,2025-10-30 08:00:00-04:00,2026-02-27 17:00:00-05:00,2025-10-30 08:00:00-04:00,2026-02-27 15:00:00-05:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2026-03-02,2026-04-27,True,5.05,4.88,4.88,1.0,frozen_no_split_events
NNE,2026-04-08,no_fill,no_fill,70,77,90,0.0,,False,19.5,,63.1,561.0,2.9022219532951805,,,,,,,,,,,,,,2026-04-09,2026-06-04,True,22.49,19.5,19.5,1.0,frozen_no_split_events
OCC,2026-01-14,no_fill,no_fill,60,51,80,0.0,,False,4.14,,62.6,183.0,1.4200298326134164,,,,,,,,,,,,,,2026-01-15,2026-03-13,True,4.3,4.14,4.14,1.0,frozen_no_split_events
OLMA,2026-04-06,loss,stopped,65,51,95,10.0,6.8,False,13.38,,58.2,327.0,2.4936500186264805,317,False,55.5,ok,2026-04-06,America/New_York,4h,1042,2025-12-08 08:00:00-05:00,2026-04-06 18:00:00-04:00,2025-12-08 08:00:00-05:00,2026-04-06 17:00:00-04:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2026-04-07,2026-06-02,True,15.17,13.38,13.38,1.0,frozen_no_split_events
ORGO,2026-04-13,win,stopped,60,16,65,22.3,19.9,False,2.28,,66.4,102.0,1.957091551179403,279,False,49.8,ok,2026-04-13,America/New_York,4h,946,2025-12-15 04:00:00-05:00,2026-04-13 19:00:00-04:00,2025-12-15 04:00:00-05:00,2026-04-13 17:00:00-04:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2026-04-14,2026-06-09,True,2.38,2.276666666666667,2.276666666666667,1.0,frozen_no_split_events
PAYS,2026-02-27,win,survived,60,21,50,102.6,102.6,True,3.23,,60.0,102.0,2.448739185248024,250,False,51.8,ok,2026-02-27,America/New_York,4h,832,2025-10-30 08:00:00-04:00,2026-02-27 17:00:00-05:00,2025-10-30 08:00:00-04:00,2026-02-27 15:00:00-05:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2026-03-02,2026-04-27,True,3.55,3.233333333333333,3.233333333333333,1.0,frozen_no_split_events
PCT,2026-03-20,win,survived,50,18,55,152.0,152.0,True,5.27,,66.7,117.0,2.1041621576195206,310,False,53.6,ok,2026-03-20,America/New_York,4h,1053,2025-11-20 04:00:00-05:00,2026-03-20 19:00:00-04:00,2025-11-20 04:00:00-05:00,2026-03-20 17:00:00-04:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2026-03-23,2026-05-18,True,5.79,5.273333333333333,5.273333333333333,1.0,frozen_no_split_events
PEPG,2026-04-27,win,survived,65,60,95,44.0,44.0,False,1.36,,79.5,407.0,3.172206606809952,302,False,50.0,ok,2026-04-27,America/New_York,4h,988,2025-12-29 08:00:00-05:00,2026-04-27 19:00:00-04:00,2025-12-29 08:00:00-05:00,2026-04-27 17:00:00-04:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2026-04-28,2026-06-24,True,1.6,1.36,1.36,1.0,frozen_no_split_events
PGY,2026-03-06,win,survived,60,7,65,43.8,43.8,False,10.83,,74.5,93.0,1.7800269658843855,328,False,48.6,ok,2026-03-06,America/New_York,4h,1273,2025-11-06 04:00:00-05:00,2026-03-06 18:00:00-05:00,2025-11-06 04:00:00-05:00,2026-03-06 16:00:00-05:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2026-03-09,2026-05-04,True,11.49,10.826666666666668,10.826666666666668,1.0,frozen_no_split_events
PLCE,2026-04-06,win,survived,80,24,70,77.0,77.0,True,3.04,,63.4,262.0,2.731872246702232,265,False,56.4,ok,2026-04-06,America/New_York,4h,859,2025-12-08 07:00:00-05:00,2026-04-06 19:00:00-04:00,2025-12-08 04:00:00-05:00,2026-04-06 17:00:00-04:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2026-04-07,2026-06-02,True,3.5,3.0400000000000005,3.0400000000000005,1.0,frozen_no_split_events
PONY,2026-04-09,win,survived,50,25,45,32.9,32.9,False,8.49,,62.4,382.0,2.9183963312566368,349,False,50.4,ok,2026-04-09,America/New_York,4h,1270,2025-12-10 04:00:00-05:00,2026-04-09 19:00:00-04:00,2025-12-10 04:00:00-05:00,2026-04-09 17:00:00-04:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2026-04-10,2026-06-05,True,9.37,8.486666666666666,8.486666666666666,1.0,frozen_no_split_events
PRCH,2026-03-06,no_fill,no_fill,55,50,95,0.0,,False,6.55,,59.8,183.0,3.0384136921834903,,,,,,,,,,,,,,2026-03-09,2026-05-04,True,7.82,6.55,6.55,1.0,frozen_no_split_events
PTON,2026-03-06,win,survived,50,6,50,45.5,45.5,False,3.86,,58.4,86.0,1.3217136774880247,307,False,35.0,ok,2026-03-06,America/New_York,4h,1079,2025-11-06 04:00:00-05:00,2026-03-06 18:00:00-05:00,2025-11-06 04:00:00-05:00,2026-03-06 16:00:00-05:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2026-03-09,2026-05-04,True,3.83,3.8633333333333333,3.8633333333333333,1.0,frozen_no_split_events
QNRX,2026-03-06,loss,stopped,55,67,100,2.8,0.0,False,7.21,7.21,79.3,192.0,3.985714285714285,269,False,55.2,ok,2026-03-06,America/New_York,4h,853,2025-11-06 08:00:00-05:00,2026-03-06 16:00:00-05:00,2025-11-06 08:00:00-05:00,2026-03-06 16:00:00-05:00,yfinance 1h->4h (interval=1h; prepost=True; auto_adjust=True),2026-03-09,2026-05-04,True,8.67,7.210000000000001,7.210000000000001,1.0,no_post_signal_split
